structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
35,1,93,28.90508604633089,21.46230004879993,128.0627669962846,65,y,0.3763349111716806,0.08634453346298973,0.004533642778409129,13.879533952059074,-92.36046625193647,-11164.989953983146,-13.218015723396093
36,1,99,14.848895025036656,11.608497721579884,50.91367903283639,7,x,0.3453154045481338,0.07740644599367136,0.014220539533486874,14.430058585479975,-93.37443315313726,-11166.00915242018,-7.986479891769704
37,1,105,24.963398371262457,18.571050483476625,108.21377109478236,15,y,0.2857519255690321,0.07272004916768562,0.0014376145751068862,44.380828114296754,-92.94895736103062,-11165.580947416882,-10.715691081713885
38,1,111,17.602035790064768,13.614070386410203,59.8446869296545,6,x,0.3047511511264997,0.08028826300730929,0.011600623767779657,32.63909276357002,-93.37776300329223,-11166.024427394455,3.9586442289873958
39,1,117,19.55157639887746,14.776275228619662,72.64888568814521,28,y,0.32104080480279196,0.0697809626146594,0.02357855434552895,14.246365881525003,-93.12311029575488,-11165.759437904268,-6.37813842149626
40,2,3,38.01973540226511,29.773734004590047,117.76337358365208,2,x,0.21972787204087962,0.05712856708026174,0.05452662371579847,11.044355820498481,-92.76797732301294,-11165.395098835243,-15.584234704874689
41,2,9,33.90089342398464,26.448169399746053,104.42296631419312,12,x,0.2764141706727492,0.058914413965188185,0.02152138428523772,31.723586309280424,-92.47708699287266,-11165.111557575934,-8.23516387208656
42,2,15,19.485352305086938,15.614457409063679,50.094561295020654,37,x,0.2825359551859153,0.07814609881255512,0.011104228721411246,12.0032139811894,-92.86623442681012,-11165.512441941659,3.5017679147131275
43,2,21,19.971362653178847,15.516343360039993,66.87115704648927,18,x,0.35517399107670294,0.09830066757880795,0.012061462680620397,5.992693984110606,-92.32409861024404,-11164.972215154117,5.41079693903157
44,2,27,16.91258120230846,13.224568719800708,62.917330332642685,47,x,0.37939418587272516,0.10691555665691932,0.04418837773142941,29.672091733043647,-93.04379196780836,-11165.70485064372,18.352928978856653
45,2,33,19.879209367150093,14.658810107315293,79.97196858800626,17,y,0.4668668954913466,0.11546153027698905,0.04825964727680632,49.145025389256496,-92.38137395043499,-11165.029595935332,5.516237963092863
46,2,39,25.010045029405966,16.506446442574646,175.44510278868165,44,x,0.2849352662325438,0.07717136635517832,0.032743700046860925,37.07079900959016,-92.74420172450175,-11165.388821985327,1.9145138921885518
47,2,45,17.46364259014127,13.480401625861841,55.67997369497557,26,y,0.25185194281457224,0.0732363107153051,0.031601805594022786,5.313445812447099,-92.73792014283089,-11165.371227784804,-9.39810495947313
48,2,51,27.015272205119516,17.855468331603156,159.29656883960598,62,y,0.32100683107703637,0.08201592300482975,0.031909454559284574,33.90029586098982,-92.40677140724381,-11165.068897609162,19.420454984356184
49,2,57,18.87329817590045,13.705900908774302,102.39457749539716,67,y,0.29200086929187113,0.07915998726279695,0.010054499032251828,6.762943607356479,-92.94695688927604,-11165.583806925157,-5.855711053300183
50,2,63,23.394911117113057,17.834563461397874,99.79922740575215,37,z,0.32309315709962005,0.07211620529404053,0.03452831448719399,17.870077549994413,-92.35533227712224,-11165.00322347843,5.1854543744411785
51,2,69,20.235256481893643,15.238093080603399,74.48481200375201,16,x,0.2655518621916342,0.07295181483621155,0.014700966742628455,5.300153872528705,-93.00083771779386,-11165.633913559235,-9.629905493056867
52,2,75,21.000740869731903,16.00715358857659,74.96246250130523,51,y,0.25317437575828594,0.0732429265868274,0.018308088239544912,9.560645862903536,-92.27543749256097,-11164.917129653133,-1.0135863612958929
53,2,81,22.44149408503602,17.160701983097063,66.80322421497742,31,x,0.28877253827979027,0.07961850835933573,0.02669656994152035,25.517980326407017,-92.37071043643766,-11165.010112720542,-3.3034628304449143
54,2,87,22.90196059755773,17.31357430381597,79.36868727759428,17,x,0.26803491286648373,0.06645436465215461,0.01045892863253449,24.925920885147963,-92.9853728363071,-11165.611781724396,-16.296858844725648
55,2,93,19.47351945393707,14.789545734395167,87.92830936535356,43,y,0.30308932968069546,0.07368461926424807,0.025087037661817656,29.351732625013568,-93.23050439419153,-11165.866706948205,-6.503192920717993
56,2,99,17.199511340663204,13.318828625538382,56.40958477330737,54,x,0.28322622784236623,0.07936666583708846,0.03319707125663543,4.392498344144875,-93.26395903433807,-11165.906717070415,0.05228914233157411
57,2,105,15.881487941559213,12.126739518569371,52.80392747524232,51,y,0.4235942108214218,0.10962078183160148,0.03256171331012793,21.705732987851352,-93.37969812776099,-11166.038551871421,16.147996726431302
58,2,111,20.28694788798631,15.138732328803028,77.83121824625594,34,y,0.4496545200451637,0.10406941084206964,0.01325322654095936,41.306497310129615,-92.9817314822226,-11165.631643857707,7.2066285501932725
59,2,117,19.34583261714452,14.813735622025247,66.82746923449612,9,x,0.3642034661199984,0.09765397543236913,0.0229068303256846,18.866412458519722,-92.53443674847641,-11165.1871151534,9.972657990147127
