sscha_index,selected,selection_group,shard,RMS_displacement_A,max_displacement_A,inplane_RMS_displacement_A,outplane_RMS_displacement_A,Aprime_coordinate_abs_A,MLIP_force_RMS_eV_A,committee_force_disagreement_RMS_eV_A,MLIP_energy_centered_eV,Aprime_force_abs_eV_A
119,False,,,0.06917138921466982,0.29205656953651904,0.043868618914302555,0.10249454525371295,0.03861871278055379,0.20684121616700077,0.0049114026400079065,-4.4229330681128785,0.3839934964916167
120,False,,,0.08416747396334925,0.312214271634777,0.04499329761866177,0.13116286577728575,0.024048338363183194,0.19526512446696892,0.002771769333860526,-0.2892355331498564,0.2521629758211716
121,False,,,0.08416747396334921,0.3122142716347754,0.04499329761866181,0.13116286577728564,0.024048338363183343,0.18153097671390472,0.002749296956961598,-0.07308417492059771,0.12407241016688837
122,False,,,0.07694651754577289,0.330355575134158,0.039436984217706035,0.12104440606195156,0.02596557497687497,0.2119875994151391,0.0036637492890588233,-4.372209672360611,0.20070757847766832
123,False,,,0.07694651754577295,0.33035557513415686,0.039436984217706146,0.12104440606195156,0.02596557497687523,0.15654786505701757,0.003902216911183852,2.818595096297564,0.1489156989527759
124,False,,,0.07205024325500062,0.2703461495185504,0.04367637553209893,0.10843643806429842,0.03406494632613772,0.19919712947503843,0.0056497009565236594,-0.7184996191683686,0.08751727255160786
125,False,,,0.07205024325500071,0.2703461495185523,0.04367637553209916,0.10843643806429842,0.03406494632613746,0.16075759216844002,0.004223329030397821,1.8599310021997724,0.3023526069975565
126,False,,,0.08887169021475537,0.28873190292150425,0.04275247496057891,0.14155911745406047,0.04601254409625156,0.1770421554114307,0.0026365542593250755,0.9463774675277534,0.3340797212985126
127,False,,,0.08887169021475533,0.2887319029215017,0.04275247496057878,0.14155911745406047,0.04601254409625155,0.16248954586815284,0.0026192696618903707,-0.3330571882040392,0.2598270961489385
128,False,,,0.07647784068393051,0.3169516481707231,0.04236193266978424,0.11814192172125564,0.03304488202578799,0.18782981608080457,0.0029831639054741705,-1.7311021529575452,0.31727596353326065
129,False,,,0.07647784068393047,0.3169516481707213,0.0423619326697841,0.11814192172125572,0.03304488202578844,0.16680676176241183,0.002773930477785486,1.9055462359613724,0.17959799426519535
130,False,,,0.100926936807915,0.41423598178673904,0.04233794483670047,0.1642368307484518,0.012107656072698921,0.21997211539406442,0.002640653140573824,-4.940602094377727,0.3609787554957905
131,False,,,0.10092693680791494,0.4142359817867351,0.04233794483670039,0.16423683074845175,0.012107656072699067,0.16487978071166146,0.004604450288320072,1.1283061602055362,0.14052476231471434
132,False,,,0.06696698550066874,0.22699106948606038,0.047884146505824544,0.09416978532394454,0.04190857206648952,0.2024980025595444,0.00696142311950913,-0.0694030278610347,0.2797415331508149
133,False,,,0.06696698550066864,0.22699106948605843,0.04788414650582445,0.09416978532394436,0.04190857206648985,0.1906935470487474,0.005970121954237858,1.0695900694699656,0.2876050390660276
134,False,,,0.09666444708156872,0.41556528632693607,0.04846783576028835,0.1527539975980453,0.05930237403708913,0.2205755578545659,0.004080130369686695,-4.982687959080572,0.3188339885455824
135,False,,,0.09666444708156878,0.41556528632693807,0.048467835760288486,0.1527539975980453,0.059302374037088795,0.1816474640486948,0.0032441975350933757,1.2924040989753287,0.13730919498158242
136,False,,,0.07609440250420085,0.2692735430102977,0.048997104633920104,0.11211441366924846,0.007532150492899517,0.1715553311603645,0.004199222297578387,0.3780287646718392,0.2159550576211783
137,False,,,0.07609440250420096,0.2692735430102958,0.04899710463392031,0.11211441366924847,0.0075321504928995845,0.19317884105607747,0.0038390954506594566,1.5970552411021792,0.14181919144537042
138,False,,,0.09694805117542613,0.40109942520071695,0.03747098968512706,0.15933808001910066,0.03450044537335936,0.1836869451116511,0.003336958577765274,0.5364268568284869,0.20345343509424815
139,False,,,0.0969480511754261,0.401099425200715,0.03747098968512701,0.15933808001910063,0.034500445373358876,0.1788193172544035,0.002460486731635407,1.4770671198036442,0.16548194740257027
140,False,,,0.08815180158318627,0.3336852014053189,0.04510784449606257,0.1387183661125029,0.060279942754900194,0.16062287110382603,0.004148483668434707,0.8088779938785837,0.13002911016576058
141,False,,,0.0881518015831862,0.33368520140531766,0.045107844496062345,0.1387183661125029,0.06027994275490002,0.21586611040982207,0.0035148411885603955,-1.49489189119066,0.41709009501523564
142,False,,,0.07159423889525438,0.2418705360319937,0.042047716418628936,0.10881720551883965,0.027498867902930713,0.19294448008781329,0.003478799022523508,0.1847723363208038,0.32980240256730664
143,False,,,0.07159423889525432,0.24187053603199668,0.042047716418628936,0.10881720551883953,0.02749886790293143,0.16816233012273998,0.003352931738656355,0.9551231589907765,0.07024981034926729
144,False,,,0.11443484587360941,0.5237360069483408,0.03993985534388924,0.1899884674409703,0.030843257282350236,0.19694575083891883,0.002581736554036192,-2.9026864849173037,0.3270218901242582
145,False,,,0.11443484587360939,0.5237360069483381,0.039939855343889,0.18998846744097034,0.03084325728235041,0.15946369996229168,0.0029123121953364083,2.6515820064404387,0.16125784246345684
146,False,,,0.06897677001366587,0.21443751581807152,0.05144863411894878,0.09476001529729475,0.024024102738933642,0.18370880038362802,0.005871361227837716,-0.5891014059589263,0.3282458289429329
147,False,,,0.06897677001366571,0.21443751581807147,0.051448634118948504,0.09476001529729478,0.024024102738934745,0.20895661899733095,0.005288406990011296,-2.4657963855779412,0.29026892940039656
148,False,,,0.08311157582526336,0.30273628424941307,0.04948684544462008,0.12579628915177138,0.06811063046871685,0.16523134070938514,0.0028081542836795484,1.9776844336841037,0.2000482895523723
149,False,,,0.08311157582526343,0.3027362842494161,0.04948684544462029,0.1257962891517714,0.06811063046871654,0.1736987138622093,0.0026205839940296764,-0.7991018223468025,0.3981459402172466
150,False,,,0.07996159249973975,0.30031961247274436,0.04428224958429008,0.12353029413383826,0.019641143556545566,0.16846031540485135,0.0029333059231062162,-0.15280273123811572,0.23843116672758533
151,False,,,0.0799615924997398,0.3003196124727463,0.04428224958429011,0.12353029413383836,0.019641143556545303,0.19208216793381286,0.0037983660558541777,0.8164886289890436,0.1478257199301515
152,True,low_Aprime_amplitude,B,0.05877727480721425,0.2041220462671166,0.03148330594601813,0.09155275525459183,0.00738557415708374,0.160221580301184,0.003361492425665009,-1.861452201256455,0.141109869575884
153,False,,,0.05877727480721431,0.20412204626711808,0.03148330594601819,0.09155275525459186,0.00738557415708384,0.17099828711070816,0.0033433558932361366,2.380249681632959,0.2591971877593816
154,False,,,0.12807229626157582,0.5200319881310553,0.04738833627302668,0.21146212516592097,0.03869051177734355,0.17152368875000787,0.0031672017464854517,-0.17606727672344036,0.2912015469628119
155,False,,,0.1280722962615758,0.5200319881310538,0.04738833627302657,0.211462125165921,0.03869051177734384,0.16535356391402928,0.0035792002170222897,0.8960573797001281,0.1319764014017869
156,False,,,0.06611882567889302,0.26102988390242704,0.042110206628729455,0.09781900798331042,0.030482706546790406,0.1781383670972654,0.004867793127154299,2.0636483692188925,0.06155418860736238
157,False,,,0.06611882567889314,0.26102988390242526,0.0421102066287298,0.09781900798331038,0.030482706546790847,0.1909363297347077,0.005595947296537613,-2.505912375330845,0.3258206604565866
158,False,,,0.07273701165012691,0.24715572249759843,0.04457507801355323,0.10907861124685891,0.026002260136455166,0.14945959248860508,0.004103052048591564,1.1803086311257136,0.1480443709096222
159,False,,,0.07273701165012696,0.24715572249759696,0.04457507801355327,0.109078611246859,0.02600226013645582,0.24385831077389827,0.004551735963670599,-6.474559236106805,0.417806853120823
160,False,,,0.08294150215354715,0.28005963029847797,0.04663334511957044,0.1276265669223249,0.04657389094622144,0.17280753163850915,0.002761329751620479,2.3025358817947588,0.10354359024378466
161,False,,,0.08294150215354719,0.28005963029847564,0.04663334511957042,0.12762656692232494,0.04657389094622181,0.22506438016251223,0.002360530510266456,-6.828000322947164,0.43210962094057764
162,False,,,0.08599640249113741,0.39078014461613386,0.04814994682019273,0.1324738048320434,0.0269528061223494,0.1927104168246744,0.004097218529741012,-0.6737689429888949,0.1912326097771648
163,False,,,0.08599640249113741,0.39078014461613264,0.04814994682019268,0.13247380483204343,0.02695280612235028,0.1733535181100606,0.002970863118264866,2.17621818366778,0.2117391879558291
164,False,,,0.09118107115794889,0.3440844573859191,0.042859194448055145,0.14583601103657637,0.03403770013024318,0.17312244040779587,0.0027088617028078812,1.6418341583058247,0.27229283156368744
165,False,,,0.09118107115794885,0.3440844573859175,0.04285919444805502,0.1458360110365763,0.03403770013024406,0.15820477557825155,0.0029944426124955776,-0.687967565264513,0.13146837541950418
166,False,,,0.08247238009553427,0.2651619105304372,0.04508048815597681,0.12783027658228896,0.021596656290602135,0.2104708620664378,0.0068266332474557195,-2.7569333433103607,0.19987885454868515
167,False,,,0.08247238009553418,0.26516191053043847,0.0450804881559766,0.12783027658228896,0.021596656290602107,0.18447669851577725,0.003884946229986013,2.792969980390147,0.17169960768089623
168,True,high_committee_disagreement,A,0.07015945322282661,0.3086731380051978,0.04636885769490044,0.10230789168836457,0.04863235943713794,0.20263172479117772,0.009122731735491508,-0.6596408805864593,0.3690567831828791
169,False,,,0.0701594532228268,0.3086731380051986,0.046368857694900886,0.10230789168836453,0.048632359437137465,0.16219588522150902,0.0037856012319670497,1.8095973021350549,0.15326561892225285
170,False,,,0.08680287786606841,0.38385293027303863,0.046467635880638056,0.13522476270573985,0.03786607977789953,0.18619562420589406,0.00391893033413795,-0.7623790023144608,0.3359667394448307
171,False,,,0.08680287786606843,0.38385293027303563,0.04646763588063808,0.13522476270573983,0.037866079777899665,0.21585231669903937,0.004459191875710163,-2.156069581671079,0.4612202988232714
172,False,,,0.0917816904764445,0.40392466212997147,0.044565514350683406,0.14594336566442356,0.015384977580523877,0.15116394331388253,0.00274145522250154,1.5920128187296303,0.10602168477483263
173,False,,,0.09178169047644451,0.40392466212997413,0.0445655143506833,0.1459433656644237,0.015384977580524019,0.19121525938303205,0.0023293667985643664,-0.6581645381391663,0.24845684106567223
174,False,,,0.08968489534699334,0.35959747213060284,0.040324380108444906,0.1444923184738301,0.0033162038991232097,0.18732247743174366,0.0027052621922108552,-1.1270229272961014,0.22604759749064302
175,False,,,0.08968489534699328,0.3595974721306036,0.04032438010844478,0.1444923184738301,0.0033162038991226953,0.180922342716308,0.0037037024251870576,-0.23050642626307472,0.2289584536202818
176,False,,,0.11848034253223615,0.4830821618917091,0.04155971916715167,0.19661727845019872,0.05089947620644011,0.21849408307701576,0.0036691931909882784,-2.6527729213956786,0.2989314363985752
177,False,,,0.1184803425322362,0.48308216189170794,0.041559719167151746,0.19661727845019883,0.0508994762064406,0.1708349395675457,0.004138676211272864,1.4037388531436097,0.17405841306602382
178,False,,,0.0888960807181063,0.35328853928802656,0.04651501243530828,0.13921295463212627,0.01975195756226457,0.16971384027330944,0.0028451107785257344,1.1286359331322817,0.27333101333426385
179,False,,,0.08889608071810624,0.3532885392880273,0.04651501243530812,0.13921295463212624,0.01975195756226513,0.18215321034635684,0.003113299064720725,0.1991725527308752,0.10974304370074771
180,False,,,0.09905033719514865,0.35733797378504734,0.04791279296332314,0.157612297858782,0.04422256413465932,0.1727756968749695,0.002780776269447838,-0.8046802734382403,0.22359847703344027
181,False,,,0.09905033719514862,0.3573379737850455,0.04791279296332307,0.15761229785878197,0.044222564134659394,0.1765482967236225,0.0026151290272061036,2.511984415777267,0.2994934223429286
182,False,,,0.07587123732194989,0.3692768351785791,0.04608620573215252,0.11411159993935037,0.05481972786785599,0.19900741475728367,0.003789749452533376,-5.062915539840332,0.18232779456968423
183,False,,,0.07587123732194995,0.3692768351785799,0.04608620573215274,0.11411159993935034,0.054819727867856,0.16595521052782272,0.003589145802162574,1.5292514527325398,0.1986312258050946
184,False,,,0.09239589423751941,0.33768744606733153,0.04163569575141714,0.14880840532188858,0.01269181152079486,0.15590590591422615,0.0022673079432711865,1.3079793120046403,0.12037401635365755
185,False,,,0.09239589423751943,0.3376874460673294,0.041635695751417276,0.14880840532188852,0.012691811520794688,0.19073235399029145,0.001993793892844939,-0.3559170346954019,0.2672535181804418
186,False,,,0.06980444564189488,0.28792401225503667,0.04304961739462445,0.10445785168415858,0.036765533401676494,0.1809818617901565,0.0030613979031218486,-0.6203815224587848,0.17694326221752982
187,False,,,0.06980444564189488,0.2879240122550339,0.04304961739462441,0.10445785168415857,0.03676553340167632,0.187331091777444,0.003533232970115109,1.739850186807784,0.3265804718868338
188,False,,,0.06281028758354502,0.23492596661924314,0.04313515862716269,0.09007837065245966,0.03400729027694905,0.1885046746457847,0.007712461398544987,3.201446669408547,0.2064238919007643
189,False,,,0.06281028758354489,0.23492596661924206,0.04313515862716248,0.09007837065245962,0.03400729027694956,0.2038367944536496,0.0074605594493692496,-2.6031842211732332,0.23240519444687574
190,False,,,0.06979216874342863,0.254123373286689,0.04685696347256722,0.10110237584742826,0.00917293159245483,0.16944770929284436,0.005055869332008699,-0.8095725938851412,0.14466569947809652
191,False,,,0.06979216874342861,0.25412337328668694,0.04685696347256722,0.10110237584742829,0.009172931592453389,0.20370860168009866,0.004393458455390557,0.8872841215892482,0.2977203586258918
192,False,,,0.09734499454498569,0.44834733829083945,0.044226955233306775,0.15657616916527248,0.07859724647359066,0.2000481502549834,0.002697247088839454,-2.368397380572538,0.1915415056808108
193,False,,,0.09734499454498573,0.44834733829084017,0.04422695523330679,0.15657616916527256,0.07859724647359101,0.20221293864106663,0.0032179883534273583,-0.6928963523576153,0.45952991199128146
194,False,,,0.11268641243851404,0.3953984296409982,0.0461940756822033,0.18392089981435614,0.008326418591985572,0.20895572166593868,0.003122175062004026,-3.648438991526193,0.2829613205522592
