sscha_index,atom_index,local_knn_score,local_knn_percentile,nearest_corrected_config,nearest_corrected_atom,force_error_norm_meV_A,force_error_x_meV_A,force_error_y_meV_A,force_error_z_meV_A,nearest_distance_A,second_distance_A,third_distance_A
94,53,2.9827321150499158,95.13425925925925,285,43,38.35816976194035,2.790498707675934,33.61809185600281,-18.25886646015168,1.4054774701200734,1.4125083655224295,1.4833054609982357
94,54,1.3383488196025024,1.3981481481481481,188,18,21.596608803262964,-9.012759789943695,18.66769175861359,6.058131492080676,1.401360932569208,1.4144132311987314,1.4631381105047145
94,55,2.5076414665068323,84.74537037037037,221,45,36.22299792447036,-35.45923381683347,6.194432696571349,-4.046890080909721,1.3435790312786378,1.373679486902283,1.5011237332547276
94,56,2.0413752976302693,57.986111111111114,27,33,31.27925036097546,-22.026561710214608,-9.61286565044403,20.020362043609616,1.4208606499921896,1.45299459756637,1.4561562442566156
94,57,2.241428365402333,72.35185185185186,9,19,23.323268983539847,7.16461891921999,-21.619259034347525,-5.025012500152581,1.3643409548128618,1.4392385686925124,1.4864206457535838
94,58,1.5424285112725795,11.083333333333334,111,39,10.37813654305808,6.383987248229979,4.742461545028692,6.667794494037635,1.4044997888009438,1.4490732350006528,1.4516470406277315
94,59,1.6707466900700432,22.26851851851852,283,30,15.642658403475115,-0.12590864688873105,-14.815136802902224,-5.018827597332,1.4399494329129614,1.4500545237232507,1.4726022443596138
94,60,2.2576894263002574,73.42592592592592,184,26,31.79199746240447,-22.02588240463257,22.024171216430688,6.366120417976378,1.3550443817569098,1.4533968075619281,1.4857509766468695
94,61,1.5909648326044377,14.944444444444443,118,5,14.860464411296055,13.571401160888675,0.8938006013107236,5.987620022573471,1.388735250411863,1.4237382996860175,1.4641228847501944
94,62,2.1413425100137085,65.93981481481481,53,68,30.93298481517011,18.271669260864208,8.952573087768535,23.29907910423279,1.3281742144562902,1.3828741504948483,1.4763609791364147
94,63,1.5739081470171257,13.546296296296296,75,62,15.078438712914897,-13.756871862869266,3.5035701341247503,-5.0825964706039395,1.3771809475772032,1.3877845747513935,1.480265447680916
94,64,1.6997987181576792,25.004629629629633,155,37,31.158289129451926,2.6428839743518826,-23.922223524150848,-19.788414980316137,1.3932753600365706,1.4191047664993053,1.4602014177793732
94,65,1.3615079772565248,1.949074074074074,186,61,4.966763568173555,-3.584425601353646,-3.4117307999610853,-0.425119276313779,1.3874304765600594,1.4183361444606206,1.4183908873987212
94,66,2.93794765644065,94.54629629629629,55,0,93.12036336471475,-29.77799921203611,86.99289545715328,14.727829985618584,1.3567595014175782,1.4469675523428345,1.5862276990373492
94,67,2.1077982205842063,63.51851851851852,199,63,39.5040555201812,-18.528965383300733,-32.91124392791745,-11.580063362655629,1.3470094404985156,1.402797054080899,1.4742746372600655
94,68,1.7365979873725181,28.64814814814815,29,22,31.988443022666708,15.265337056655891,20.249939954700473,-19.497946132659926,1.3674506281921135,1.4064363930713153,1.4729952382035687
94,69,1.343858030812395,1.5462962962962963,236,44,29.75556785220944,14.421510188522335,-22.378574366683946,13.289592597389225,1.4024234838904601,1.4534300053205425,1.4846895419231463
94,70,2.2091882050549883,70.4074074074074,244,62,20.987986343380168,14.335287528686514,12.415636506881711,-8.991500005493162,1.341040769203884,1.4479660420284532,1.4745318642219176
94,71,2.3160739884749306,76.64814814814814,261,46,24.47532617571785,-17.202541005706784,-8.138317658843992,-15.390970081138613,1.3624367392858336,1.4628849171799836,1.4972993441168152
65,0,1.601082472483192,15.75,98,61,40.56856701869958,15.171211793594361,-37.44581438327789,-3.6679623550033567,1.3898080435681002,1.442485067575715,1.4622436022949392
65,1,2.20012706690325,69.80092592592592,250,33,93.34472532056064,-79.08306696884159,47.694340738220205,-13.577780581493379,1.3198933492284028,1.399776704928703,1.4917086605498664
65,2,2.655119219229387,89.07407407407408,12,20,96.6424203165859,67.32466447738649,-69.22905426452635,3.8059168795776532,1.400968195847968,1.4658647049579165,1.4979433143666026
65,3,2.352842071144053,78.46296296296296,63,6,69.40344270709147,-64.61757885528563,-20.685018529510547,-14.612883730163562,1.3118625119806846,1.4290786076401183,1.457525015179946
65,4,1.9618241844545032,51.01851851851852,152,7,22.54625495205683,-18.528354256458282,-2.8653234987545027,12.522923866167067,1.4366700772715324,1.4443060089054314,1.4574032943381332
65,5,1.6300541275507148,18.50925925925926,73,51,33.888559928037665,24.95735333797455,-14.191177182235727,18.00487429953575,1.3959560347626712,1.4243779819184519,1.4972169285577346
65,6,1.5911662438620666,14.958333333333334,82,44,19.789766927219183,4.692407164630888,19.006461311035146,2.893202113075255,1.390050777285507,1.420916595401595,1.447806653915352
65,7,2.6347565187723068,88.5925925925926,40,44,25.935744995120263,-22.753061533279418,0.656020219574005,-12.431037639160147,1.3391327118614944,1.4574200621561477,1.5360806596388827
65,8,3.1222465969814883,96.68981481481481,52,27,39.719282423590364,9.037278510932916,-15.317049613342293,35.51530634111404,1.3575630510804555,1.3927529576364828,1.4002809869949857
65,9,2.945367469810143,94.66666666666667,146,17,32.24708536842629,-20.625413908538782,24.67742524627686,2.343394775629046,1.374432310514095,1.391798758476647,1.5510591645991127
65,10,2.001824264218573,54.47685185185185,277,1,43.743925396872804,40.729452260284404,-4.271896717452983,-15.375097597732545,1.3576217727735305,1.39229491504608,1.41096963657844
