smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.0019000869,,fixed_static_lattice_reference,KM,0.135,0.135,0.37833333333333335,0.24333333333333332,1380.5193619379675,8.318549044070825e-07,-160010.34592289248,1321.2960920106896
0.0019000869,,fixed_static_lattice_reference,KM,0.136,0.136,0.3786666666666667,0.24266666666666667,1380.5291918512316,8.394585324378687e-07,-159918.78091689275,1321.3410114866344
0.0019000869,,fixed_static_lattice_reference,KM,0.137,0.137,0.379,0.242,1380.5391914001364,8.466239667876335e-07,-159832.4927612162,1321.3841100265001
0.0019000869,,fixed_static_lattice_reference,KM,0.138,0.138,0.3793333333333333,0.24133333333333332,1380.5493625060933,8.532667938985685e-07,-159752.4979874312,1321.425005185141
0.0019000869,,fixed_static_lattice_reference,KM,0.139,0.139,0.37966666666666665,0.24066666666666667,1380.5597070895399,8.593732906367756e-07,-159678.96185333742,1321.4636366490827
0.0019000869,,fixed_static_lattice_reference,KM,0.14,0.14,0.38000000000000006,0.24,1380.5702270695742,8.648233524044741e-07,-159613.33069194475,1321.4994593941349
0.0019000869,,fixed_static_lattice_reference,KM,0.14100000000000001,0.14100000000000001,0.38033333333333336,0.23933333333333331,1380.5809243635797,8.696029218905657e-07,-159555.7737853078,1321.5324116083148
0.0019000869,,fixed_static_lattice_reference,KM,0.14200000000000002,0.14200000000000002,0.38066666666666665,0.23866666666666667,1380.5918008868584,8.734140134551868e-07,-159509.87955947674,1321.5611378655708
0.0019000869,,fixed_static_lattice_reference,KM,0.14300000000000002,0.14300000000000002,0.381,0.238,1380.6028585522586,8.752901879531787e-07,-159487.28614374553,1321.5812373437063
0.0019000869,,fixed_static_lattice_reference,KM,0.14400000000000002,0.14400000000000002,0.38133333333333336,0.2373333333333333,1380.6140992698042,8.717335416242919e-07,-159530.1162691968,1321.576775988961
0.0019000869,,fixed_static_lattice_reference,KM,0.145,0.145,0.38166666666666665,0.23666666666666666,1380.6255249463231,8.409841922460071e-07,-159900.40849665858,1321.4486110464727
0.0019000869,,fixed_static_lattice_reference,KM,0.146,0.146,0.38199999999999995,0.236,1380.6371374850771,7.569808220482051e-07,-160912.00047157067,1321.0779329515035
0.0019000869,,fixed_static_lattice_reference,KM,0.147,0.147,0.38233333333333336,0.2353333333333333,1380.6489387853878,8.699233998547251e-07,-159551.91450042534,1321.604924956317
0.0019000869,,fixed_static_lattice_reference,KM,0.148,0.148,0.38266666666666665,0.23466666666666666,1380.6609307422652,8.942586158844454e-07,-159258.8630527816,1321.7283164952305
0.0019000869,,fixed_static_lattice_reference,KM,0.149,0.149,0.383,0.23399999999999999,1380.6731152460345,9.037200899644364e-07,-159144.92534733456,1321.7841449404118
0.0019000869,,fixed_static_lattice_reference,KM,0.15,0.15,0.3833333333333333,0.2333333333333333,1380.6854941819654,9.092962808468917e-07,-159077.77530402096,1321.822476182213
0.00285013035,,fixed_static_lattice_reference,K,0.0,0.0,0.3333333333333333,0.3333333333333333,1380.070552374435,-6.435258190407339e-06,-247522.94536006526,1287.2730029682953
0.00285013035,,fixed_static_lattice_reference,KG,0.001,-0.001,0.333,0.333,1380.0705728352552,-6.426322458331237e-06,-247415.33878622347,1287.3148205546327
