structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
68,453005,68,0.00993764399931463,0.006641320663371919,0.03809869771309593,67,y,0.36021511782373156,0.09729335981778288,0.018867994977784977,0.005927073900399976,-89.96480692180428,-89.96479992445096,-0.009544176903991305
69,453005,69,0.011527724449844042,0.0077245443222924235,0.04180462321556888,26,y,0.36021511817724744,0.0972933599123094,0.018867996911162022,0.005279118879749567,-90.00254500705003,-90.00256516855825,0.01761468463792918
70,453005,70,0.011157370759199765,0.007491478504913923,0.04141545065472485,59,x,0.29393297977815236,0.07794047143316157,0.036576886025483674,0.009516348825092634,-90.82692009197528,-90.82691798164443,-0.004657154433734452
71,453005,71,0.011063581182606183,0.007011691427138885,0.047842351822202644,4,y,0.29393297923346656,0.07794047138689754,0.036576885642057064,0.014688813184155308,-91.06572872394555,-91.06574105862533,0.00978785620101045
72,453005,72,0.01099512590062617,0.007568915878420432,0.04378823923029129,2,y,0.48622337612903777,0.10679001606005989,0.042978843440222105,0.0075908966990245064,-89.39074408111954,-89.39072594976007,-0.020678183047711705
73,453005,73,0.012044233917740779,0.007812915290850228,0.05035951058296462,65,x,0.4862233761541119,0.10679001611088013,0.04297884479437158,0.006575369971876813,-89.61498176273635,-89.61496250297098,-0.02180658894621009
74,453005,74,0.012439911067923897,0.008373034415054891,0.05096325567954807,12,x,0.37138003528362995,0.10261517058071822,0.05461125322557261,0.018987505475170682,-88.64464180428773,-88.64465806557651,0.013714465198072881
75,453005,75,0.010298092860648337,0.00699929577951025,0.035775622000189244,4,y,0.3713800344254266,0.10261517058854569,0.05461125479770409,0.0029129624871891066,-88.64149181836325,-88.64150224460235,0.007879415520856506
76,453005,76,0.012387815554002238,0.007983748178717857,0.045922289086841594,46,x,0.39950330923364064,0.09861195177757952,0.020996577607217123,0.009639795600645318,-90.16518048903636,-90.16517992779154,-0.0031080683974001504
77,453005,77,0.011892183721182871,0.007358128571955487,0.060517662633596814,1,y,0.3995033092254918,0.09861195172579798,0.020996577521693767,0.003447056873759011,-90.11245207481689,-90.11246790134702,0.013279706551211726
78,453005,78,0.00947492982623531,0.006546201325843808,0.03362292179120985,23,x,0.23853926467657707,0.07438024758917372,0.016713588893140646,0.013554757874819618,-88.803827075742,-88.80383045083826,0.0008282726761403107
79,453005,79,0.011198034681565652,0.007358745246057651,0.05089620911791215,71,y,0.23853926459665709,0.07438024746781377,0.016713587809823207,0.012032506569205457,-88.81466415351565,-88.81468507761174,0.018377272511666355
80,453005,80,0.010252976505989254,0.006970898422253237,0.039097509206831305,10,x,0.25377381871597143,0.06503889307424214,0.04517364713626958,0.007297271360701987,-90.5509014889996,-90.55092413141728,0.020095594096242543
81,453005,81,0.011052266735832992,0.007295822192635367,0.0421474841223457,35,y,0.2537738183998438,0.06503889307863064,0.045173644716654394,0.01097281933192284,-90.6021240519325,-90.602126466944,-0.0001318120857736933
82,453005,82,0.010320894763188683,0.006935642868964765,0.04455071711673142,40,x,0.31473765338603665,0.08325217094403044,0.03870648303053578,0.011107185875043757,-90.19477736184571,-90.19479720963771,0.01730096842403365
83,453005,83,0.011827039661878867,0.008260840118260213,0.04723042174958891,3,y,0.3147376541174514,0.08325217089928504,0.03870648384967336,0.014169996605566526,-90.15693914169013,-90.1569436694014,0.0019808876893516
84,453005,84,0.01115681522695993,0.007058837707979105,0.054645106293715884,0,y,0.3660463555125818,0.077929475228473,0.038284370506298765,0.005794359724225033,-90.13345974686072,-90.13345700195974,-0.005291724561734175
85,453005,85,0.010641989652633629,0.007116219413917944,0.04423106973849844,69,y,0.36604635569189864,0.07792947525994903,0.03828437050629874,0.010662639911637345,-90.09644669341571,-90.0964344828278,-0.014757411491122715
