direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
KG,0.14300000000000002,-0.14300000000000002,0.2856666666666667,0.2856666666666667,1381.3710516890403,4.635484501498402e-07,-164445.5948010941,1320.5076249849492
KG,0.14400000000000002,-0.14400000000000002,0.2853333333333333,0.2853333333333333,1381.3982665680096,4.644282676791823e-07,-164434.99979341793,1320.540105821737
KG,0.145,-0.145,0.285,0.285,1381.425880890881,4.6699146175710926e-07,-164404.13309660245,1320.5806795870308
KG,0.146,-0.146,0.2846666666666667,0.2846666666666667,1381.4538978194137,5.248258176661739e-07,-163707.67567859578,1320.8736488104587
KG,0.147,-0.147,0.2843333333333333,0.2843333333333333,1381.4823205083107,5.273613089385308e-07,-163677.1425866789,1320.9149326471966
KG,0.148,-0.148,0.284,0.284,1381.5111521049287,5.274924665854247e-07,-163675.56314977375,1320.9456840614278
KG,0.149,-0.149,0.2836666666666667,0.2836666666666667,1381.5403957489807,5.296088710967592e-07,-163650.0768173291,1320.9859152424453
KG,0.15,-0.15,0.2833333333333333,0.2833333333333333,1381.5700545722555,5.297467461593283e-07,-163648.4164874339,1321.0175620344155
KM,0.001,0.001,0.3336666666666666,0.33266666666666667,1380.07057256686,-7.386566115578128e-06,-258978.86028951436,1282.8156239208759
KM,0.002,0.002,0.334,0.332,1380.07063262336,-7.246528256271697e-06,-257292.48539378477,1283.4728145292586
KM,0.003,0.003,0.3343333333333333,0.3313333333333333,1380.0707317867982,-7.107859162850103e-06,-255622.5935579773,1284.1232928253312
KM,0.004,0.004,0.33466666666666667,0.33066666666666666,1380.070869332077,-6.970572192782939e-06,-253969.3456364603,1284.7670056249635
KM,0.005,0.005,0.33499999999999996,0.33,1380.0710445661437,-6.8347567570040835e-06,-252333.81834059628,1285.4035435260364
KM,0.006,0.006,0.3353333333333333,0.3293333333333333,1380.071256827983,-6.7003394772332966e-06,-250715.1280287021,1286.0332600263753
KM,0.007,0.007,0.3356666666666666,0.32866666666666666,1380.0715054886093,-6.56740863321523e-06,-249114.33779004466,1286.655751345927
KM,0.008,0.008,0.336,0.328,1380.0717899510503,-6.435873616747048e-06,-247530.35649541538,1287.2714511412426
KM,0.009000000000000001,0.009000000000000001,0.3363333333333333,0.3273333333333333,1380.0721096503316,-6.305837219748925e-06,-245964.42199373955,1287.8798879713036
