asr_residual_pred,cv_error_300k,error,f_error_300k,freq_mae,freq_rmse,model,mp_id,n_displacements,n_imaginary_pred,n_imaginary_ref,omega_max_error,omega_max_pred,omega_max_ref,s_error_300k,softening_pct
1.4153269198430082e-07,2.8690062091961295,,-4.78415832319625,0.6071425188953788,0.7867692935582866,orb,mp-9946,72,83,0,-0.2223509371114467,10.263246768275458,10.485597705386905,12.467721352045658,-2.1205366003810675
1.5680966619682488e-07,125.09395851423729,,17.109492504168653,4.5300065980626005,5.137531920785238,orb,mp-1138,48,156,0,-10.460820062420368,7.735253291519206,18.196073353939575,119.54514945044845,-57.48943664351368
1.7610094527150313e-07,123.49390118113341,,11.850572313924626,6.200981522547835,7.52707541134922,orb,mp-1986,48,97,0,-12.403061254532288,4.308155354386129,16.711216608918416,139.7236060611516,-74.21997778374221
1.1307113102104033e-07,132.27771654776257,,2.050407477877196,4.714919406065465,5.628453179375716,orb,mp-2490,48,8,0,-7.779864619916044,3.8629722619871263,11.64283688190317,161.5705397399119,-66.82103939812585
3.085076411234672e-07,85.80342110280048,,53.34727290361527,9.249051407347176,11.78541951683047,orb,mp-36066,72,1134,84,-27.967790697606283,14.5085794642602,42.476370161866484,72.63990991933652,-65.84317490178245
4.0264028201508955e-07,180.64837886167706,,92.34325363278735,9.284967755700357,12.115491220237168,orb,mp-554151,144,4266,594,-23.991679637772258,12.69262677090316,36.68430640867542,174.92764291653302,-65.40039048441298
1.0192787765038438e-07,1.8441368410428822,,-11.095111878905719,0.38205359800489785,0.4700267735300755,orb,mp-556296,96,1,4,-0.04605487214697135,13.439297987728066,13.485352859875038,35.11133661024405,-0.3415177387312216
2.0538792109131173e-07,798.464072616921,,408.51342442334163,9.414475357096817,12.315731259913063,orb,mp-560998,648,48031,7165,-24.848381918284403,12.746291342990082,37.59467326127449,795.3058939628762,-66.09548577691781
2.3468688731773233e-07,77.18456600570137,,-2.539081580728503,14.358640981427982,23.257834464840084,orb,mp-632229,48,897,10,-59.23632046818143,2.608789197006754,61.84510966518818,195.32836400094362,-95.78173729316676
5.7012688966744506e-08,0.34752213106187924,,-2.636202089349162,0.23821686964282152,0.3125581380772372,orb,mp-753575,36,355,222,-0.27161304613580217,5.6334948795260855,5.905107925661888,8.477028923889407,-4.599628822285374
4.875122096244164e-07,330.86776250679566,,144.63495406746964,5.815292771744057,6.422803194120228,orb,mp-1143,180,10,0,-14.09096965076329,12.205361332303996,26.296330983067286,226.80487311782605,-53.585306862150226
7.50953719415149e-08,138.08029807543218,,-15.680233882395843,4.492328034808956,5.511876717012019,orb,mp-20351,48,0,0,-7.883565642941713,2.336084020269644,10.219649663211356,214.32523736295278,-77.14125143957658
1.6446333573344565e-07,7.8619393770286194,,-8.283564095333823,1.1529946479917064,1.5367850237005707,orb,mp-2589,72,0,0,-1.4879317304229822,25.667607082754973,27.155538813177955,14.252295040379835,-5.47929371116335
2.4092878919143244e-07,112.55310648113117,,24.324832717998582,5.398297681793073,6.672330576390288,orb,mp-390,72,2016,0,-14.488901226809846,11.037507341126188,25.526408567936034,108.38062271119962,-56.76043767868502
3.9056354068721774e-07,1.1410446608619509,,-2.0408865216011236,0.5763694846606068,0.8180596485436732,orb,mp-554243,108,16543,1841,-0.49221394295243215,37.84537385233653,38.33758779528896,-0.4017163119206657,-1.283893878719508
9.71856091354757e-08,-9.024994385847776,,-36.36396421942085,0.3277345040175534,0.42111204946955433,orb,mp-556328,192,8934,295,0.18071192043612605,11.385259044942918,11.204547124506792,110.03474851677038,1.612844485618429
2.53413266703984e-07,72.9255188795053,,-18.50346064244919,5.899894946443659,11.252189701063367,orb,mp-561203,48,11666,45,-27.188331883599073,2.160104291309166,29.34843617490824,167.71383914441049,-92.63979764224722
2.9234061502313415e-07,115.57414684664592,,37.42042691012313,10.475708812733437,22.851514129526137,orb,mp-644271,72,169,327,-67.91018493716908,9.08711588137572,76.9973008185448,134.52819900436663,-88.19813709731096
3.995407505062761e-07,85.23747849773456,,53.52026388931474,9.262841624433731,11.726226880015794,orb,mp-753671,72,1182,12,-27.03594592603418,14.88781388086131,41.92375980689549,71.60276975596446,-64.48836185152314
2.6463763162906125e-07,340.41621435188125,,192.4634338777653,9.13353403092857,11.755598725630977,orb,mp-11684,288,29122,4188,-23.750012658010398,13.119890447449686,36.86990310546008,297.3298020958404,-64.41571758427878
1.2262648232838324e-07,-0.6669559428746652,,-2.078313009649417,0.5226704059690354,0.7331606014654237,orb,mp-20878,48,1729,151,-0.21351440332403193,14.834860551603013,15.048374954927045,4.349969660036152,-1.418853557035568
1.0186571912816243e-07,128.94405342754965,,12.346269294081836,3.8642375050031994,4.326872377233672,orb,mp-2605,48,59,0,-7.702620469601724,6.879037853246452,14.581658322848176,130.83644590680834,-52.82403619026236
5.7328266627740486e-08,146.80167371675293,,-42.45508515593573,2.0264418503605888,2.4336094465253404,orb,mp-406,48,1,0,-3.269925553370637,1.4579300043920052,4.727855557762642,294.06337681479704,-69.16297491368498
3.3423170041188133e-07,706.5139271949154,,368.00836590849934,9.380540907184006,12.290338436448023,orb,mp-554267,576,49564,3724,-25.93804714046565,12.30792964753892,38.24597678800457,680.3156592651787,-67.81902129010557
4.6893199075249155e-07,39.91791285459976,,-11.054906290966755,3.3901046484830624,4.313845783650268,orb,mp-557082,216,6929,4736,5.189088984007469,101.86863074593501,96.67954176192754,73.73696376082194,5.367308211685107
2.1630483204567562e-07,73.57804189254992,,-28.05294987113643,5.808468143520192,11.578460041940545,orb,mp-561367,48,13939,1579,-28.416749887965914,1.664885641812251,30.081635529778165,201.6421283341278,-94.46544174712787
4.3590421357214737e-07,3.1364458586523654,,1.054203599894933,0.7833864305542602,1.0220420992206054,orb,mp-644419,72,26,740,0.9471892112130149,78.04135749935786,77.09416828814484,1.567029159423214,1.2286133079130306
