smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.01095,1291.727506376452
0.0019000869,K_to_Gamma,-0.011024999999999998,1291.7673901940311
0.0019000869,K_to_Gamma,-0.011099999999999999,1291.8073561379654
0.0019000869,K_to_Gamma,-0.011175,1291.8474027958184
0.0019000869,K_to_Gamma,-0.01125,1291.8875287757683
0.0019000869,K_to_Gamma,-0.011324999999999998,1291.9277327063148
0.0019000869,K_to_Gamma,-0.011399999999999999,1291.9680132359877
0.0019000869,K_to_Gamma,-0.011474999999999999,1292.0083690330607
0.0019000869,K_to_Gamma,-0.01155,1292.048798785265
0.0019000869,K_to_Gamma,-0.011624999999999998,1292.089301199508
0.0019000869,K_to_Gamma,-0.011699999999999999,1292.1298750015928
0.0019000869,K_to_Gamma,-0.011774999999999999,1292.1705189359418
0.0019000869,K_to_Gamma,-0.01185,1292.2112317653218
0.0019000869,K_to_Gamma,-0.011924999999999998,1292.2520122705744
0.0019000869,K_to_Gamma,-0.011999999999999999,1292.2928592503467
0.0019000869,K_to_Gamma,-0.012074999999999999,1292.3337715208263
0.0019000869,K_to_Gamma,-0.01215,1292.3747479154802
0.0019000869,K_to_Gamma,-0.012225,1292.4157872847936
0.0019000869,K_to_Gamma,-0.012299999999999998,1292.4568884960163
0.0019000869,K_to_Gamma,-0.012374999999999999,1292.4980504329085
0.0019000869,K_to_Gamma,-0.01245,1292.53927199549
0.0019000869,K_to_Gamma,-0.012525,1292.5805520997956
0.0019000869,K_to_Gamma,-0.012599999999999998,1292.6218896776302
0.0019000869,K_to_Gamma,-0.012674999999999999,1292.6632836763276
0.0019000869,K_to_Gamma,-0.01275,1292.7047330585149
0.0019000869,K_to_Gamma,-0.012825,1292.7462368018769
0.0019000869,K_to_Gamma,-0.012899999999999998,1292.7877938989252
0.0019000869,K_to_Gamma,-0.012974999999999999,1292.8294033567697
0.0019000869,K_to_Gamma,-0.013049999999999999,1292.871064196895
0.0019000869,K_to_Gamma,-0.013125,1292.9127754549377
0.0019000869,K_to_Gamma,-0.013199999999999998,1292.954536180466
0.0019000869,K_to_Gamma,-0.013274999999999999,1292.9963454367671
0.0019000869,K_to_Gamma,-0.013349999999999999,1293.0382023006325
0.0019000869,K_to_Gamma,-0.013425,1293.0801058621485
0.0019000869,K_to_Gamma,-0.013499999999999998,1293.12205522449
0.0019000869,K_to_Gamma,-0.013574999999999999,1293.164049503716
0.0019000869,K_to_Gamma,-0.013649999999999999,1293.2060878285704
0.0019000869,K_to_Gamma,-0.013725,1293.2481693402829
0.0019000869,K_to_Gamma,-0.013799999999999998,1293.2902931923745
0.0019000869,K_to_Gamma,-0.013874999999999998,1293.332458550466
0.0019000869,K_to_Gamma,-0.013949999999999999,1293.3746645920887
0.0019000869,K_to_Gamma,-0.014025,1293.416910506498
0.0019000869,K_to_Gamma,-0.014099999999999998,1293.4591954944892
0.0019000869,K_to_Gamma,-0.014174999999999998,1293.5015187682193
