key,trajectory_seed,snapshot_index,displacement_RMS_A,displacement_max_A,min_pair_distance_A,reference_force_RMS_meV_A,short_force_RMS_meV_A,long_force_RMS_meV_A,total_force_RMS_meV_A,short_only_error_RMSE_meV_A,total_error_RMSE_meV_A,total_error_max_abs_meV_A,oracle_alpha,long_vs_required_residual_cosine,oracle_scaled_error_RMSE_meV_A,max_error_atom,max_error_axis,operator_force_replay_max_abs_eV_A,reference_net_force_meV_A,prediction_net_force_meV_A
seed1:snapshot033,1,33,0.08019000561349916,0.3434046237521991,1.3477061263455106,1363.4194714916632,1334.1308307477495,40.23080098595607,1345.664627797813,60.982327564185965,39.87638487397036,176.8449439788151,1.1576136509121961,0.763692142768022,39.369007617245934,65,y,0.0,0.0002121320321560844,2.047150106608361e-12
seed1:snapshot039,1,39,0.06940834356332855,0.3144540090245093,1.3517545381544005,1351.8217725569416,1315.0654624560987,26.781538744874855,1331.3888129926897,49.325556235033,35.90231819088419,193.50722745218363,1.2975132397440252,0.7044908107394495,35.00699388599842,16,y,0.0,0.0006748333118482492,3.4479530682295443e-12
seed1:snapshot045,1,45,0.10188070944977774,0.4718175633224611,1.3505293940271337,1263.9751065531518,1252.0689885479921,49.06843396618391,1255.2474381704508,57.51113228087361,29.765781200026133,183.0781401664181,1.0028694043160795,0.8556470580697503,29.76544820094268,28,y,0.0,0.0010824509238975997,6.699163375832024e-12
seed1:snapshot051,1,51,0.09951013516598982,0.4406359143968916,1.3361340978686056,1343.0999019485332,1304.6410492967707,57.958535963960486,1301.8630807536822,92.2533000234539,70.31790183596007,416.7601790364057,1.030791952681977,0.6475995161765559,70.29525104727718,27,y,0.0,0.00033361654698364616,3.682193206295148e-12
seed1:snapshot057,1,57,0.0878690220586084,0.380053154415947,1.3506126447217242,1281.4042147570015,1268.030607436467,41.28264594482795,1274.997011757066,65.28353120778836,37.22348541787203,151.84477752402526,1.3438726738371523,0.8498103390327909,34.4102047839239,68,y,0.0,0.001139166361731117,7.0584889967571874e-12
seed1:snapshot063,1,63,0.08904531683461146,0.32607866284953807,1.3427415778684058,1424.3021904979419,1394.7672385926319,22.6981251199956,1409.9479292915732,65.34843016511208,55.788676996945085,218.60294522998512,1.6238643887334363,0.5640330912349084,53.96160903313637,30,x,0.0,0.0015600000012513011,5.3945872716704554e-12
seed1:snapshot069,1,69,0.0786750407821299,0.2721321506348115,1.3417939178663942,1345.1667814609057,1308.8462246634997,36.84020177822324,1317.3950291637075,62.23724216891147,44.972286688966406,217.95256201661584,1.1819065376415916,0.6996080451563971,44.47017902227523,47,y,0.0,0.0009332202324386759,3.871877927712888e-12
seed1:snapshot075,1,75,0.0660725158536592,0.24536213531703094,1.362783742300253,1333.167425159918,1301.263439369777,25.306049916087957,1314.2730174031612,60.23908645235408,45.33260009516266,153.23016550741065,1.7286948280871794,0.7262134966780806,41.41251903849309,14,y,0.0,0.0009357884343839186,9.01146219650834e-12
seed1:snapshot081,1,81,0.0727153308594522,0.33805234670686063,1.3510961794848309,1270.8380527362697,1242.588323565491,30.605614810765083,1250.9706954557364,46.19849920038141,31.688161180736355,122.94734997367397,1.1032653762828413,0.7308920359968678,31.53015694032702,2,y,0.0,0.0007622335606961219,8.626225714372464e-12
seed1:snapshot087,1,87,0.07040781557640584,0.2604408682020586,1.3461290450509802,1370.5313796232763,1344.607442613475,28.60898966400598,1356.6409443056882,61.98310612646423,49.216600452444624,212.02936264833716,1.3672426874221506,0.6310660171311969,48.08210094589795,70,x,0.0,0.0008033056678168762,5.651280743693803e-12
