direction,distance_from_K,q_invA,electron_eV,hole_eV,electron_hole_mean_eV
KM,0.017,0.028946924058487335,0.15574737829876617,0.15504646540544864,0.1553969218521074
KM,0.0175,0.029798304177854663,0.1602638660004343,0.15952267979147394,0.15989327289595412
KM,0.018000000000000002,0.030649684297221983,0.16477655134820357,0.1639940769428192,0.16438531414551139
KM,0.0185,0.03150106441658917,0.16928542331145024,0.1684606559395343,0.16887303962549227
KM,0.019,0.03235244453595649,0.17379047081121146,0.17292241593271207,0.17335644337196177
KM,0.0195,0.03320382465532382,0.1782916827199701,0.17737935614451672,0.1778355194322434
KM,0.02,0.034055204774691,0.182789047861462,0.18183147586827175,0.18231026186486687
KM,0.0205,0.034906584894058325,0.18728255501052415,0.18627877446849128,0.18678066473950772
KM,0.021,0.035757965013425645,0.19177219289289815,0.19072125138089913,0.19124672213689864
KM,0.021500000000000002,0.036609345132792834,0.19625795018510628,0.19515890611245235,0.1957084281487793
KM,0.022,0.037460725252160154,0.20073981551429743,0.19959173824131993,0.20016577687780868
KM,0.0225,0.03831210537152748,0.20521777745812453,0.2040197474168648,0.20461876243749466
KM,0.023,0.03916348549089466,0.20969182454463287,0.20844293335961273,0.2090673789521228
KM,0.0235,0.04001486561026199,0.21416194525216636,0.21286129586118818,0.21351162055667727
KM,0.024,0.04086624572962932,0.2186281280092619,0.21727483478426146,0.21795148139676168
KM,0.0245,0.04171762584899649,0.22309036119459824,0.22168355006245388,0.22238695562852606
KM,0.025,0.04256900596836382,0.2275486331369263,0.22608744170023054,0.22681803741857842
KM,0.025500000000000002,0.04342038608773114,0.23200293211501544,0.23048650977280816,0.2312447209439118
KM,0.026000000000000002,0.04427176620709832,0.23645324635763565,0.234880754425995,0.23566700039181532
KM,0.0265,0.045123146326465656,0.2408995640435312,0.23927017587607535,0.24008486995980327
KM,0.027,0.045974526445832976,0.24534187330141632,0.24365477440961802,0.24449832385551717
KM,0.0275,0.04682590656520016,0.24978016220998955,0.24803455038331856,0.24890735629665406
KM,0.028,0.047677286684567485,0.2542144187979569,0.2524095042237886,0.25331196151087276
KM,0.0285,0.04852866680393481,0.2586446310440649,0.25677963642737445,0.25771213373571966
KM,0.029,0.049380046923301994,0.26307078687716934,0.2611449475598975,0.2621078672185334
KM,0.029500000000000002,0.050231427042669315,0.26749287417628786,0.26550543825643813,0.266499156216363
KM,0.03,0.05108280716203664,0.2719108807706925,0.26986110922107387,0.2708859949958832
KM,0.0305,0.05193418728140382,0.27632479444000424,0.2742119612265981,0.27526837783330116
KM,0.031,0.05278556740077115,0.2807346029143185,0.2785579951142554,0.27964629901428695
KM,0.0315,0.05363694752013833,0.2851402938743186,0.2828992117934175,0.28401975283386804
KM,0.032,0.05448832763950565,0.2895418549514255,0.28723561224127403,0.28838873359634976
KM,0.0325,0.05533970775887284,0.29393927372796713,0.2915671975025025,0.2927532356152348
KM,0.033,0.0561910878782403,0.2983325377373436,0.29589396868891793,0.29711325321313076
KM,0.0335,0.05704246799760748,0.30272163446421807,0.3002159269791096,0.30146878072166383
KM,0.034,0.05789384811697481,0.30710655134473597,0.30453307361806115,0.30581981248139856
KM,0.0345,0.058745228236342,0.3114872757667395,0.3088454099167568,0.31016634284174815
KM,0.035,0.05959660835570932,0.3158637950700005,0.31315293725178206,0.3145083661608913
KM,0.035500000000000004,0.06044798847507651,0.3202360965464921,0.31745565706488676,0.31884587680568943
KM,0.036000000000000004,0.061299368594443966,0.324604167440655,0.32175357086254897,0.323178869151602
KM,0.0365,0.062150748713811155,0.32896799494965645,0.32604668021554284,0.32750733758259964
KM,0.037,0.06300212883317834,0.33332756622374693,0.3303349867584404,0.3318312764910937
KM,0.0375,0.06385350895254566,0.3376828683665434,0.33461849218914663,0.336150680277845
KM,0.038,0.06470488907191298,0.3420338884353671,0.3388971982684059,0.3404655433518865
KM,0.0385,0.06555626919128017,0.34638061344161386,0.34317110681927643,0.34477586013044514
KM,0.039,0.06640764931064749,0.3507230303511022,0.3474402197266313,0.34908162503886675
KM,0.0395,0.06725902943001481,0.3550611260844798,0.35170453893658227,0.35338283251053104
KM,0.04,0.068110409549382,0.3593948875176127,0.3559640664559547,0.3576794769867837
KM,0.0405,0.06896178966874933,0.3637243014820064,0.36021880435172093,0.36197155291686367
KM,0.041,0.06981316978811665,0.36804935476524925,0.36446875475039686,0.36625905475782305
KM,0.0415,0.07066454990748383,0.37237003411144465,0.3687139198374707,0.3705419769744577
KM,0.042,0.07151593002685115,0.37668632622170817,0.3729543018567836,0.37482031403924587
KM,0.0425,0.07236731014621849,0.3809982177546276,0.3771899031099113,0.37909406043226945
KM,0.043000000000000003,0.07321869026558567,0.38530569532678394,0.38142072595551957,0.38336321064115175
