smearing_degauss_Ry,lattice_temperature_K,direction,signed_q_2pi_over_a,q1,q2,MLIP_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_raw_6x6_cm-1,DFT_TDEP_wave1_plus_full_EPC_LR_cm-1,DFT_TDEP_wave2_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_plus_full_EPC_LR_cm-1
0.0019000869,300,KG,-0.024,0.3213333333333333,0.3213333333333333,1297.574431448126,1282.0183849701225,1299.5016660456552,1310.743812089218,1295.3839772836318
0.0019000869,300,KG,-0.02366666666666667,0.3215,0.3215,1297.3567647664042,1281.9815487749047,1299.3025311031452,1310.5542260613706,1295.1868068248375
0.0019000869,300,KG,-0.023333333333333334,0.32166666666666666,0.32166666666666666,1297.122019774654,1281.9452105304629,1299.0861181285634,1310.347410799969,1294.9722761981873
0.0019000869,300,KG,-0.023,0.32183333333333336,0.32183333333333336,1296.8852588191248,1281.9093708431317,1298.8674660910747,1310.1382760661095,1294.7554719106024
0.0019000869,300,KG,-0.02266666666666667,0.322,0.322,1296.6619306739092,1281.8740303147806,1298.6619989445462,1309.9421127728942,1294.5518666203902
0.0019000869,300,KG,-0.022333333333333334,0.32216666666666666,0.32216666666666666,1296.4169378522727,1281.8391895427774,1298.4346720849403,1309.7241777772037,1294.326304182146
0.0019000869,300,KG,-0.022,0.3223333333333333,0.3223333333333333,1296.1849562011541,1281.804849119958,1298.2201068103486,1309.5187939378902,1294.113515541602
0.0019000869,300,KG,-0.021666666666666667,0.3225,0.3225,1295.9507172565486,1281.7710096345893,1298.0030571954749,1309.3108464035997,1293.898206104035
0.0019000869,300,KG,-0.021333333333333333,0.32266666666666666,0.32266666666666666,1295.7012337912784,1281.7376716703402,1297.7705557565032,1309.0874795796026,1293.6673669927864
0.0019000869,300,KG,-0.020999999999999998,0.32283333333333336,0.32283333333333336,1295.4701317638403,1281.704835806242,1297.5561739522823,1308.8819745374449,1293.4546758865567
0.0019000869,300,KG,-0.020666666666666667,0.323,0.323,1295.2240805284482,1281.672502616661,1297.3266334023917,1308.6613404094253,1293.2267485950358
0.0019000869,300,KG,-0.02033333333333333,0.32316666666666666,0.32316666666666666,1294.976193664654,1281.6406726712582,1297.095025828137,1308.4385555188453,1292.9967180983667
0.0019000869,300,KG,-0.019999999999999997,0.3233333333333333,0.3233333333333333,1294.7392706649457,1281.6093465349595,1296.874128715502,1308.2262862515138,1292.7774021098198
0.0019000869,300,KG,-0.019666666666666666,0.3235,0.3235,1294.483880374801,1281.57852476792,1296.6345583226084,1307.9954035511826,1292.5393235024094
0.0019000869,300,KG,-0.019333333333333334,0.32366666666666666,0.32366666666666666,1294.2391666238989,1281.5482079254891,1296.4054094900903,1307.7747494975386,1292.3116690489326
0.0019000869,300,KG,-0.019,0.32383333333333336,0.32383333333333336,1293.99219990467,1281.5183965581768,1296.1737731151989,1307.5515267979665,1292.0814884764452
0.0019000869,300,KG,-0.018666666666666665,0.324,0.324,1293.7327017074258,1281.48909121162,1295.9293872434782,1307.315562664943,1291.8384870724278
0.0019000869,300,KG,-0.018333333333333333,0.32416666666666666,0.32416666666666666,1293.487280616017,1281.4602924265453,1295.698814550244,1307.09318824912,1291.6093113690633
0.0019000869,300,KG,-0.018,0.3243333333333333,0.3243333333333333,1293.229873274454,1281.4320007387364,1295.456035050617,1306.8586100024193,1291.367858723871
0.0019000869,300,KG,-0.017666666666666664,0.3245,0.3245,1292.970916988828,1281.404216678999,1295.211467501288,1306.6221557131662,1291.1245806242925
0.0019000869,300,KG,-0.017333333333333333,0.32466666666666666,0.32466666666666666,1292.7195074270307,1281.376940773126,1294.9741908887963,1306.3928247860722,1290.8885845296347
0.0019000869,300,KG,-0.017,0.32483333333333336,0.32483333333333336,1292.4544683951067,1281.3501735418604,1294.7230649898509,1306.1496615047483,1290.6386630444981
0.0019000869,300,KG,-0.016666666666666666,0.325,0.325,1292.196462249221,1281.3239155008628,1294.478715312141,1305.9131108340432,1290.3955066928963
0.0019000869,300,KG,-0.01633333333333333,0.32516666666666666,0.32516666666666666,1291.9361775824366,1281.298167160676,1294.2318458819504,1305.6739578459944,1290.149789819661
0.0019000869,300,KG,-0.016,0.3253333333333333,0.3253333333333333,1291.6673185752904,1281.272929026686,1293.9761713466996,1305.4259721092703,1289.895206926979
