signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.0012799999999999999,1282.9960455088224,1285.0178785351393,1285.0776181294748,-0.059739594335496804
-0.0012749999999999999,1282.9927377545093,1285.0145707808263,1285.0742087032907,-0.0596379224643897
-0.0012699999999999999,1282.9894298378379,1285.0112628641548,1285.0707992771065,-0.05953641295172929
-0.0012649999999999998,1282.9861217873147,1285.0079548136316,1285.0673898509222,-0.059435037290541004
-0.0012599999999999998,1282.9828136314468,1285.0046466577637,1285.063980424738,-0.059333766974305036
-0.0012549999999999998,1282.9795053987416,1285.0013384250585,1285.0605709985539,-0.059232573495364704
-0.00125,1282.9761971177063,1284.9980301440232,1285.0571615723695,-0.059131428346290704
-0.001245,1282.9728888168474,1284.9947218431644,1285.0537521461854,-0.05903030302101797
-0.00124,1282.9695805246724,1284.9914135509894,1285.0503427200013,-0.058929169011889826
-0.001235,1282.9662722696883,1284.9881052960052,1285.046933293817,-0.058827997811704336
-0.00123,1282.962964080402,1284.9847971067188,1285.0435238676328,-0.05872676091394169
-0.001225,1282.9596559853212,1284.9814890116381,1285.0401144414486,-0.05862542981049046
-0.00122,1282.9563480129523,1284.9781810392692,1285.0367050152643,-0.05852397599505821
-0.001215,1282.9530401918025,1284.9748732181195,1285.0332955890801,-0.05842237096067038
-0.00121,1282.9497325503794,1284.9715655766963,1285.029886162896,-0.05832058619967029
-0.001205,1282.9464251171896,1284.9682581435065,1285.0264767367116,-0.05821859320508338
-0.0012,1282.9431179207404,1284.9649509470573,1285.0230673105275,-0.05811636347016247
-0.0011949999999999999,1282.939810989539,1284.9616440158559,1285.0196578843434,-0.05801386848747825
-0.0011899999999999999,1282.936504352092,1284.958337378409,1285.016248458159,-0.05791107975005616
-0.0011849999999999999,1282.933198036907,1284.955031063224,1285.0128390319749,-0.057807968750921646
-0.0011799999999999998,1282.9298920724907,1284.9517250988076,1285.0094296057907,-0.057704506983100146
-0.0011749999999999998,1282.9265864873507,1284.9484195136677,1285.0060201796064,-0.05760066593870761
-0.0011699999999999998,1282.9232813099934,1284.9451143363103,1285.0026107534222,-0.05749641711190634
-0.001165,1282.9199765689266,1284.9418095952435,1284.999201327238,-0.057391731994584916
-0.00116,1282.9166722926568,1284.9385053189737,1284.9957919010537,-0.05728658207999615
-0.001155,1282.9133685096917,1284.9352015360087,1284.9923824748696,-0.05718093886093811
-0.00115,1282.9100652485376,1284.9318982748546,1284.9889730486855,-0.05707477383089099
-0.001145,1282.9067625377024,1284.9285955640194,1284.985563622501,-0.056968058481743356
-0.00114,1282.9034604056926,1284.9252934320095,1284.982154196317,-0.056860764307430145
-0.001135,1282.9001588810156,1284.9219919073325,1284.9787447701328,-0.05675286280029468
-0.00113,1282.8968579921784,1284.9186910184953,1284.9753353439485,-0.056644325453135025
-0.001125,1282.8935577676882,1284.9153907940051,1284.9719259177643,-0.056535123759204
-0.00112,1282.8902582360517,1284.9120912623687,1284.9685164915802,-0.05642522921152704
-0.0011149999999999999,1282.8869594257767,1284.9087924520936,1284.9651070653958,-0.056314613302220096
-0.0011099999999999999,1282.8836613653696,1284.9054943916865,1284.9616976392117,-0.0562032475252181
-0.0011049999999999999,1282.8803640833376,1284.9021971096545,1284.9582882130276,-0.056091103373091755
-0.0010999999999999998,1282.877067608188,1284.898900634505,1284.9548787868432,-0.05597815233818437
-0.0010949999999999998,1282.873771968428,1284.8956049947449,1284.951469360659,-0.05586436591420352
-0.0010899999999999998,1282.8704771925645,1284.8923102188814,1284.948059934475,-0.05574971559349251
-0.0010849999999999998,1282.8671833091043,1284.8890163354213,1284.9446505082906,-0.055634172869304166
-0.0010799999999999998,1282.8638903465553,1284.8857233728722,1284.9412410821064,-0.05551770923420918
-0.001075,1282.8605983334235,1284.8824313597404,1284.9378316559223,-0.05540029618191511
-0.00107,1282.8573072982172,1284.879140324534,1284.934422229738,-0.055281905203855786
