signed_equal_distance_from_K,short_range_MLIP_cm-1,MLIP_plus_qspace_long_range_cm-1
0.00733125,1380.0717015317548,1287.163077569815
0.007475,1380.0717482748867,1287.2804135717672
0.00761875,1380.0717960008512,1287.3977388794813
0.0077625,1380.0718447127563,1287.5150534958805
0.00790625,1380.0718944137213,1287.6323574238888
0.00805,1380.0719451068808,1287.7496506664263
0.00819375,1380.0719967953846,1287.8669332264112
0.0083375,1380.072049482392,1287.9842051067649
0.00848125,1380.0721031710802,1288.1014663104008
0.008625,1380.0721578646364,1288.2187168402368
0.00876875,1380.0722135662645,1288.335956699185
0.0089125,1380.0722702791775,1288.4531858901619
0.00905625,1380.0723280066072,1288.570404416075
0.0092,1380.0723867517952,1288.6876122798374
0.00934375,1380.072446517998,1288.8048094843573
0.0094875,1380.0725073084861,1288.921996032541
0.00963125,1380.0725691265422,1289.0391719272975
0.009774999999999999,1380.0726319754633,1289.1563371715288
0.00991875,1380.07269585856,1289.2734917681405
0.0100625,1380.0727607791566,1289.3906357200347
0.01020625,1380.0728267405905,1289.5077690301105
0.01035,1380.0728937462109,1289.6248917012715
0.01049375,1380.0729617993843,1289.7420037364125
0.0106375,1380.0730309034877,1289.8591051384321
0.01078125,1380.0731010619133,1289.976195910226
0.010925,1380.0731722780642,1290.0932760546889
0.01106875,1380.073244555361,1290.210345574713
0.0112125,1380.0733178972343,1290.3274044731909
0.01135625,1380.07339230713,1290.444452753012
0.0115,1380.0734677885052,1290.5614904170677
0.01164375,1380.0735443448343,1290.6785174682434
0.0117875,1380.0736219796017,1290.795533909428
0.01193125,1380.073700696307,1290.9125397435048
0.012074999999999999,1380.0737804984637,1291.0295349733576
0.01221875,1380.0738613895962,1291.1465196018717
0.0123625,1380.0739433732442,1291.263493631926
0.01250625,1380.0740264529613,1291.3804570664017
0.01265,1380.0741106323137,1291.4974099081762
0.01279375,1380.074195914881,1291.6143521601289
0.0129375,1380.0742823042558,1291.7312838251348
0.013081249999999999,1380.0743698040462,1291.8482049060685
0.013225,1380.0744584178713,1291.9651154058038
0.01336875,1380.0745481493643,1292.0820153272132
0.0135125,1380.074639002172,1292.1989046731674
0.01365625,1380.0747309799544,1292.315783446536
0.0138,1380.0748240863866,1292.4326516501874
0.01394375,1380.0749183251532,1292.5495092869892
0.0140875,1380.0750136999563,1292.6663563598056
0.014231249999999999,1380.075110214509,1292.783192871503
0.014374999999999999,1380.075207872538,1292.9000188249438
0.01451875,1380.075306677785,1293.0168342229886
0.0146625,1380.0754066340023,1293.1336390684996
0.01480625,1380.0755077449578,1293.2504333643355
0.01495,1380.0756100144322,1293.3672171133542
0.01509375,1380.0757134462187,1293.4839903184125
0.0152375,1380.0758180441246,1293.6007529823662
0.015381249999999999,1380.0759238119708,1293.7175051080683
0.015525,1380.0760307535907,1293.834246698373
0.01566875,1380.076138872832,1293.950977756131
0.0158125,1380.0762481735542,1294.0676982841928
0.015956249999999998,1380.0763586596318,1294.184408285407
0.0161,1380.0764703349512,1294.301107762622
0.01624375,1380.076583203414,1294.417796718683
0.0163875,1380.076697268932,1294.5344751564364
0.01653125,1380.0768125354334,1294.6511430787257
0.016675,1380.0769290068583,1294.7678004883933
0.01681875,1380.0770466871597,1294.8844473882803
0.0169625,1380.077165580304,1295.0010837812276
0.01710625,1380.0772856902713,1295.117709670073
0.01725,1380.0774070210555,1295.234325057654
0.01739375,1380.077529576663,1295.350929946807
0.0175375,1380.0776533611129,1295.4675243403663
0.01768125,1380.0777783784383,1295.5841082411664
0.017825,1380.077904632685,1295.700681652039
0.01796875,1380.0780321279128,1295.8172445758166
0.0181125,1380.0781608681946,1295.9337970153263
0.018256249999999998,1380.0782908576157,1296.0503389733985
0.0184,1380.0784221002746,1296.1668704528608
0.01854375,1380.0785546002844,1296.283391456538
0.0186875,1380.07868836177,1296.399901987255
0.01883125,1380.0788233888698,1296.5164020478355
0.018975,1380.0789596857355,1296.632891641102
0.01911875,1380.0790972565326,1296.749370769875
0.0192625,1380.0792361054378,1296.8658394369745
0.01940625,1380.0793762366436,1296.982297645218
0.019549999999999998,1380.0795176543536,1297.0987453974235
0.01969375,1380.0796603627855,1297.215182696406
0.0198375,1380.079804366169,1297.3316095449816
0.01998125,1380.0799496687494,1297.4480259459615
0.020125,1380.080096274782,1297.5644319021594
0.02026875,1380.0802441885378,1297.680827416385
0.0204125,1380.080393414299,1297.7972124914486
0.020556249999999998,1380.0805439563617,1297.9135871301587
0.0207,1380.0806958190358,1298.029951335321
0.02084375,1380.0808490066436,1298.1463051097423
0.0209875,1380.0810035235188,1298.262648456228
0.02113125,1380.0811593740113,1298.3789813775788
0.021275,1380.081316562483,1298.4953038765987
0.02141875,1380.081475093307,1298.611615956087
0.0215625,1380.0816349708718,1298.7279176188451
0.02170625,1380.0817961995772,1298.844208867669
0.02185,1380.0819587838369,1298.9604897053578
0.02199375,1380.082122728078,1299.0767601347056
0.0221375,1380.08228803674,1299.1930201585078
0.02228125,1380.0824547142756,1299.3092697795569
0.022425,1380.0826227651498,1299.4255090006457
0.02256875,1380.0827921938414,1299.5417378245636
0.0227125,1380.0829630048424,1299.6579562541015
0.022856249999999998,1380.0831352026573,1299.7741642920466
0.023,1380.0833087918027,1299.8903619411867
